Time (s), Voltage (V), Resistance (Ohm)
0.00, 1.60, 2339
0.10, 1.61, 2314
0.20, 1.61, 2305
0.30, 1.61, 2309
0.40, 1.61, 2318
0.50, 1.61, 2309
0.60, 1.62, 2293
0.70, 1.63, 2260
0.80, 1.62, 2280
0.90, 1.62, 2269
1.00, 1.61, 2300
1.10, 1.59, 2371
1.20, 1.58, 2387
1.30, 1.60, 2334
1.40, 1.62, 2269
1.50, 1.61, 2307
1.60, 1.64, 2225
1.70, 1.65, 2188
1.80, 1.62, 2273
1.90, 1.65, 2192
2.00, 1.57, 2415
2.10, 1.60, 2334
2.20, 1.60, 2341
2.30, 1.59, 2373
2.40, 1.61, 2316
2.50, 1.61, 2302
2.60, 1.64, 2214
2.70, 1.56, 2441
2.80, 1.46, 2775
2.90, 0.86, 6283
3.00, 0.68, 8462
3.10, 0.65, 9047
3.20, 0.66, 8827
3.30, 1.16, 4056
3.40, 1.51, 2602
3.50, 1.56, 2456
3.60, 1.57, 2430
3.70, 1.60, 2350
3.80, 1.58, 2396
3.90, 1.60, 2336
4.00, 1.62, 2291
4.10, 1.62, 2278
4.20, 1.61, 2316
4.30, 1.65, 2195
4.40, 1.63, 2256
4.50, 1.58, 2382
4.60, 1.61, 2314
4.70, 1.63, 2249
4.80, 1.61, 2298
4.90, 1.64, 2238
5.00, 1.64, 2216
5.10, 1.65, 2208
5.20, 1.65, 2199
5.30, 1.56, 2439
5.40, 1.59, 2359
5.50, 1.59, 2368
5.60, 1.56, 2456
5.70, 1.61, 2318
5.80, 1.63, 2260
5.90, 1.66, 2177
