Time (s), Voltage (V), Resistance (Ohm)
0.00, 2.26, 1008
0.10, 2.38, 854
0.20, 2.28, 987
0.30, 2.32, 932
0.40, 2.34, 898
0.50, 2.34, 897
0.60, 2.32, 930
0.70, 2.29, 967
0.80, 2.18, 1127
0.90, 2.24, 1043
1.00, 2.22, 1070
1.10, 2.25, 1027
1.20, 2.19, 1111
1.30, 2.16, 1158
1.40, 2.10, 1253
1.50, 2.07, 1301
1.60, 1.93, 1569
1.70, 1.96, 1500
1.80, 1.92, 1576
1.90, 1.87, 1683
2.00, 1.82, 1783
2.10, 1.65, 2212
2.20, 1.37, 3096
2.30, 1.25, 3620
2.40, 1.43, 2876
2.50, 1.55, 2478
2.60, 1.63, 2256
2.70, 1.64, 2223
2.80, 1.67, 2152
2.90, 1.74, 1982
3.00, 1.65, 2188
3.10, 1.63, 2247
3.20, 1.60, 2350
3.30, 1.55, 2473
3.40, 1.55, 2497
3.50, 1.50, 2631
3.60, 1.48, 2704
3.70, 1.46, 2761
3.80, 1.43, 2870
3.90, 1.41, 2960
4.00, 1.26, 3582
4.10, 1.36, 3156
4.20, 1.31, 3344
4.30, 1.28, 3455
4.40, 1.30, 3403
4.50, 1.30, 3368
4.60, 1.38, 3059
4.70, 1.41, 2951
4.80, 1.47, 2736
4.90, 1.52, 2572
5.00, 1.57, 2430
5.10, 1.65, 2205
5.20, 1.69, 2084
5.30, 1.77, 1908
5.40, 1.80, 1835
5.50, 1.96, 1495
5.60, 1.69, 2090
5.70, 1.87, 1676
5.80, 1.57, 2425
5.90, 1.53, 2552
