Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.78, 7069
0.10, 0.78, 7098
0.20, 0.78, 7078
0.30, 0.78, 7059
0.40, 0.78, 7069
0.50, 0.78, 7098
0.60, 0.78, 7136
0.70, 0.78, 7117
0.80, 0.78, 7069
0.90, 0.78, 7107
1.00, 0.78, 7088
1.10, 0.78, 7059
1.20, 0.78, 7098
1.30, 0.79, 6947
1.40, 0.78, 7088
1.50, 0.78, 7126
1.60, 0.78, 7107
1.70, 0.78, 7136
1.80, 0.78, 7107
1.90, 0.78, 7098
2.00, 0.78, 7088
2.10, 0.78, 7088
2.20, 0.78, 7088
2.30, 0.78, 7098
2.40, 0.78, 7136
2.50, 0.78, 7098
2.60, 0.78, 7088
2.70, 0.78, 7107
2.80, 0.78, 7059
2.90, 0.78, 7107
3.00, 0.78, 7126
3.10, 0.78, 7069
3.20, 0.79, 7012
3.30, 0.78, 7126
3.40, 0.78, 7098
3.50, 0.78, 7136
3.60, 0.78, 7088
3.70, 0.78, 7107
3.80, 0.78, 7107
3.90, 0.80, 6836
4.00, 0.78, 7107
4.10, 0.78, 7088
4.20, 0.78, 7126
4.30, 0.78, 7107
4.40, 0.78, 7107
4.50, 0.78, 7098
4.60, 0.78, 7136
4.70, 0.72, 7900
4.80, 0.78, 7126
4.90, 0.78, 7088
5.00, 0.79, 6993
5.10, 0.78, 7107
5.20, 0.78, 7098
5.30, 0.78, 7107
5.40, 0.78, 7126
5.50, 0.78, 7078
5.60, 0.78, 7098
5.70, 0.78, 7098
5.80, 0.78, 7107
5.90, 0.78, 7165
