Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.78, 7069
0.10, 0.78, 7165
0.20, 0.78, 7098
0.30, 0.78, 7088
0.40, 0.78, 7107
0.50, 1.47, 2750
0.60, 1.41, 2951
0.70, 1.48, 2696
0.80, 1.62, 2291
0.90, 1.65, 2199
1.00, 1.55, 2485
1.10, 1.52, 2577
1.20, 1.51, 2600
1.30, 1.42, 2928
1.40, 1.45, 2791
1.50, 1.30, 3385
1.60, 1.05, 4688
1.70, 1.13, 4249
1.80, 1.19, 3908
1.90, 1.22, 3774
2.00, 1.37, 3118
2.10, 1.25, 3631
2.20, 1.25, 3612
2.30, 1.12, 4272
2.40, 1.19, 3879
2.50, 1.25, 3616
2.60, 1.31, 3344
2.70, 1.34, 3208
2.80, 1.34, 3214
2.90, 1.36, 3143
3.00, 1.52, 2567
3.10, 2.06, 1325
3.20, 2.03, 1379
3.30, 1.78, 1869
3.40, 1.68, 2121
3.50, 1.68, 2131
3.60, 1.41, 2957
3.70, 1.04, 4805
3.80, 0.87, 6188
3.90, 0.85, 6372
4.00, 0.84, 6429
4.10, 0.84, 6396
4.20, 0.88, 6080
4.30, 1.12, 4258
4.40, 1.51, 2618
4.50, 1.85, 1729
4.60, 1.87, 1686
4.70, 1.83, 1769
4.80, 1.83, 1772
4.90, 1.85, 1724
5.00, 1.84, 1743
5.10, 1.79, 1849
5.20, 1.75, 1948
5.30, 1.76, 1916
5.40, 1.88, 1666
5.50, 1.99, 1452
5.60, 1.97, 1489
5.70, 1.79, 1845
5.80, 1.69, 2086
5.90, 1.72, 2018
