Time (s), Voltage (V), Resistance (Ohm)
0.00, 3.19, 73
0.10, 3.19, 75
0.20, 3.19, 74
0.30, 3.20, 72
0.40, 3.19, 73
0.50, 3.20, 72
0.60, 3.19, 76
0.70, 3.19, 76
0.80, 3.20, 67
0.90, 3.20, 70
1.00, 3.19, 73
1.10, 3.19, 75
1.20, 3.19, 77
1.30, 3.17, 89
1.40, 3.08, 157
1.50, 3.05, 180
1.60, 3.13, 121
1.70, 3.20, 70
1.80, 3.20, 69
1.90, 3.20, 68
2.00, 3.20, 69
2.10, 3.20, 67
2.20, 3.20, 69
2.30, 3.20, 71
2.40, 3.19, 74
2.50, 3.20, 69
2.60, 3.20, 72
2.70, 3.20, 70
2.80, 3.20, 70
2.90, 3.20, 68
3.00, 3.20, 68
3.10, 3.20, 70
3.20, 3.20, 72
