Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.78, 7069
0.10, 0.78, 7098
0.20, 0.77, 7224
0.30, 0.78, 7107
0.40, 0.78, 7107
0.50, 0.67, 8589
0.60, 0.78, 7107
0.70, 0.78, 7088
0.80, 0.78, 7078
0.90, 0.78, 7078
1.00, 0.78, 7126
1.10, 0.78, 7098
1.20, 0.78, 7088
1.30, 0.78, 7126
1.40, 0.78, 7126
1.50, 0.78, 7069
1.60, 0.78, 7098
1.70, 0.78, 7078
1.80, 0.78, 7107
1.90, 0.78, 7107
2.00, 0.78, 7107
2.10, 0.78, 7098
2.20, 0.78, 7117
2.30, 0.78, 7126
2.40, 0.78, 7098
2.50, 0.78, 7117
2.60, 0.78, 7078
2.70, 0.80, 6928
2.80, 0.78, 7107
2.90, 0.79, 7031
3.00, 0.78, 7126
3.10, 0.78, 7107
3.20, 0.78, 7069
3.30, 0.78, 7107
3.40, 0.78, 7117
3.50, 0.78, 7136
3.60, 0.78, 7126
3.70, 0.78, 7069
3.80, 0.78, 7069
3.90, 0.78, 7136
4.00, 0.78, 7069
4.10, 0.78, 7088
4.20, 0.78, 7098
4.30, 0.78, 7078
4.40, 0.78, 7059
4.50, 0.78, 7088
4.60, 0.78, 7155
4.70, 0.78, 7117
4.80, 0.78, 7107
4.90, 0.78, 7136
5.00, 0.78, 7098
5.10, 0.78, 7126
5.20, 0.78, 7050
5.30, 0.78, 7126
5.40, 0.78, 7126
5.50, 0.78, 7088
5.60, 0.78, 7078
5.70, 0.78, 7088
5.80, 0.78, 7088
5.90, 0.78, 7098
