Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.78, 7098
0.10, 0.78, 7078
0.20, 0.78, 7136
0.30, 0.76, 7334
0.40, 0.78, 7088
0.50, 1.32, 3293
0.60, 0.78, 7165
0.70, 1.28, 3452
0.80, 1.34, 3221
0.90, 1.31, 3330
1.00, 1.18, 3962
1.10, 1.13, 4235
1.20, 1.09, 4454
1.30, 1.11, 4328
1.40, 1.13, 4221
1.50, 1.15, 4122
1.60, 1.19, 3879
1.70, 1.25, 3631
1.80, 1.17, 3992
1.90, 1.04, 4789
2.00, 0.93, 5587
2.10, 0.93, 5587
2.20, 0.78, 7088
2.30, 1.01, 5007
2.40, 1.03, 4866
2.50, 1.16, 4043
2.60, 1.28, 3480
2.70, 0.94, 5500
2.80, 0.86, 6196
2.90, 0.83, 6563
3.00, 0.82, 6685
3.10, 0.81, 6720
3.20, 0.85, 6372
3.30, 0.98, 5227
3.40, 1.16, 4082
3.50, 1.14, 4194
3.60, 1.21, 3802
3.70, 1.23, 3688
3.80, 1.29, 3445
3.90, 1.35, 3182
4.00, 1.36, 3131
4.10, 1.32, 3303
4.20, 1.49, 2667
4.30, 1.43, 2873
4.40, 1.40, 2996
4.50, 1.41, 2960
4.60, 1.37, 3109
4.70, 1.43, 2884
4.80, 1.39, 3005
4.90, 1.39, 3041
5.00, 1.39, 3035
5.10, 1.35, 3188
5.20, 1.30, 3385
5.30, 1.36, 3134
5.40, 1.38, 3044
5.50, 1.38, 3068
5.60, 1.30, 3375
5.70, 1.27, 3495
5.80, 1.24, 3646
5.90, 1.12, 4277
