Time (s), Voltage (V), Resistance (Ohm)
0.00, 0.79, 7021
0.10, 0.79, 7031
0.20, 1.66, 2175
0.30, 0.79, 7021
0.40, 1.64, 2229
0.50, 0.79, 7031
0.60, 0.79, 7031
0.70, 1.69, 2094
0.80, 1.66, 2171
0.90, 1.61, 2300
1.00, 1.54, 2507
1.10, 1.60, 2332
1.20, 0.79, 7012
1.30, 0.79, 7031
1.40, 1.65, 2212
1.50, 0.79, 7031
1.60, 1.65, 2195
1.70, 0.79, 7031
1.80, 1.67, 2148
1.90, 0.79, 7021
2.00, 0.79, 7031
2.10, 1.30, 3365
2.20, 1.17, 4005
2.30, 1.15, 4113
2.40, 1.15, 4100
2.50, 1.17, 3996
2.60, 1.25, 3616
2.70, 1.55, 2485
2.80, 1.70, 2080
2.90, 1.72, 2030
3.00, 1.72, 2016
3.10, 1.71, 2038
3.20, 1.71, 2041
3.30, 1.69, 2092
3.40, 1.68, 2115
3.50, 1.66, 2169
3.60, 1.66, 2167
3.70, 0.79, 7012
3.80, 1.57, 2411
3.90, 1.50, 2646
4.00, 1.46, 2775
4.10, 1.30, 3371
4.20, 0.79, 7031
4.30, 0.79, 7012
4.40, 0.79, 7031
4.50, 0.79, 7031
4.60, 0.79, 7031
4.70, 0.79, 7031
4.80, 0.79, 7021
4.90, 0.79, 7040
5.00, 0.79, 7021
5.10, 0.79, 7021
5.20, 0.79, 7031
5.30, 0.79, 7021
5.40, 0.79, 7031
5.50, 0.79, 7031
5.60, 0.79, 7031
5.70, 0.79, 7012
5.80, 0.79, 7040
5.90, 0.79, 7021
